date,txn date,clean_narrative,value
03/04/2022,03/04/2022,POS PURCHASE MINISO POINT CAIRO,-300.0
05/04/2022,05/04/2022,Online Transfer Transfer to Another CIB Client,400.0
05/04/2022,05/04/2022,ATM WITHDRAWAL NBE CAIRO EG,-400.0
17/04/2022,17/04/2022,Online Transfer Transfer to Another CIB Client,1000.0
19/04/2022,19/04/2022,POS PURCHASE SPOTIFY STOCKHOLM SE,-82.39
26/04/2022,26/04/2022,Online Transfer Transfer to Another CIB Client,3000.0
26/04/2022,26/04/2022,ATM WITHDRAWAL ADCB AIRO EG,-1550.0
26/04/2022,26/04/2022,ATM WITHDRAWAL ADCB AIRO EG,-100.0
26/04/2022,26/04/2022,Online Transfer Transfer to Another CIB Client,20000.0
26/04/2022,26/04/2022,Online Transfer Transfer to Another CIB Client,20000.0
26/04/2022,26/04/2022,ATM WITHDRAWAL CIB MOKATAM BR BNA CAIRO EG,-3000.0
26/04/2022,26/04/2022,ATM WITHDRAWAL CIB MOKATAM BR BNA CAIRO EG,-3000.0
26/04/2022,26/04/2022,ATM WITHDRAWAL CIB MOKATTAM BR II CAIRO EG,-10000.0
26/04/2022,26/04/2022,ATM WITHDRAWAL CIB MOKATTAM BR II CAIRO EG,-4000.0
26/04/2022,26/04/2022,Online Transfer Transfer to Another CIB Client,-5.0
26/04/2022,26/04/2022,Online Transfer Transfer to Another CIB Client,-14000.0
26/04/2022,26/04/2022,ATM WITHDRAWAL CIB MOKATAM BR BNA CAIRO EG,-100.0
26/04/2022,26/04/2022,POS PURCHASE TOTAL FUEL CAIRO,-340.0
27/04/2022,27/04/2022,POS PURCHASE Circle CFC CAIRO,-14.0
28/04/2022,28/04/2022,Online Transfer Test,-5.0
28/04/2022,28/04/2022,Online Transfer Transfer to Another CIB Client,-6000.0
28/04/2022,28/04/2022,POS PURCHASE HAG ARAFA CAIRO,-32.7
28/04/2022,28/04/2022,POS PURCHASE NOON COMMERCE OCT,-89.1
28/04/2022,28/04/2022,Credit Interest,0.02
08/05/2022,08/05/2022,ATM WITHDRAWAL CIB MOKATTAM BR III CAIRO EG,-350.0
08/05/2022,08/05/2022,ATM WITHDRAWAL \ CIB TAYARAN BR BNA CAIRO EG,-50.0
08/05/2022,08/05/2022,POS PURCHASE TOTAL FUEL CAIRO,-400.0
08/05/2022,08/05/2022,POS PURCHASE Circle CFC CAIRO,-20.0
09/05/2022,09/05/2022,POS PURCHASE PAYMOB MQR Space OTHERS EG,-60.0
09/05/2022,09/05/2022,POS PURCHASE KOKIO CHIKEN CAIRO,-200.0
09/05/2022,09/05/2022,POS PURCHASE FAWRY ZYDAN CAIRO EG,-111.0
09/05/2022,09/05/2022,POS PURCHASE YATTA RESTAURANT CAIRO,-119.26
09/05/2022,09/05/2022,POS PURCHASE PAYMOB SWVL CAIRO EG,-36.0
10/05/2022,10/05/2022,Online Transfer Transfer to Another CIB Client,1200.0
12/05/2022,12/05/2022,POS PURCHASE MCDONALDS MOBIL ELNARG CAIRO,-29.5
15/05/2022,15/05/2022,POS PURCHASE GHATATY MUKATTAM CAIRO EG,-1230.0
16/05/2022,16/05/2022,POS PURCHASE PAYMOB EL MAQARR CAIRO EG,-60.0
16/05/2022,16/05/2022,POS PURCHASE KANSAS FRIED CHICKEN CAIRO,-120.0
16/05/2022,16/05/2022,POS PURCHASE PAYMOB EL MAQARR CAIRO EG,-60.0
17/05/2022,17/05/2022,POS PURCHASE TOP UP VODAFONE NSR CAIRO EG,-29.0
19/05/2022,19/05/2022,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for,-9.19
24/05/2022,24/05/2022,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for,-0.81
26/05/2022,26/05/2022,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for,-0.19
29/05/2022,29/05/2022,Online Transfer Transfer to Another CIB Client,475.0
31/05/2022,31/05/2022,Online Transfer Transfer to Another CIB Client,-60.0
31/05/2022,31/05/2022,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for,-9.81
31/05/2022,31/05/2022,POS PURCHASE SPOTIFY STOCKHOLM SE,-82.39
01/06/2022,01/06/2022,POS PURCHASE FOOD AND COMPANY CAIRO EG,-150.0
01/06/2022,01/06/2022,POS PURCHASE MASTER ON THE GO CAIRO,-7.0
01/06/2022,01/06/2022,POS PURCHASE PAYMOB gelato CAIRO EG,-35.0
01/06/2022,01/06/2022,Online Transfer Transfer to Another CIB Client,50.0
02/06/2022,02/06/2022,ATM WITHDRAWAL ALMAZA CITY CENTER AIRO EG,-150.0
21/06/2022,21/06/2022,Online Transfer Transfer to Another CIB Client,50.0
21/06/2022,21/06/2022,Online Transfer Mama,-50000.0
22/06/2022,22/06/2022,ATM DEPOSIT CIB MOKATTAM BR II CAIRO EG,2000.0
23/06/2022,23/06/2022,Online Transfer Transfer to Another CIB Client,20000.0
23/06/2022,23/06/2022,ATM WITHDRAWAL BDC MOKATTAM CAIRO EG,-2000.0
26/06/2022,26/06/2022,POS PURCHASE SPOTIFY STOCKHOLM SE,-82.39
27/06/2022,27/06/2022,ATM WITHDRAWAL NBE CAIRO EG,-3000.0
27/06/2022,27/06/2022,ATM WITHDRAWAL NBE CAIRO EG,-3000.0
27/06/2022,27/06/2022,ATM WITHDRAWAL NBE CAIRO EG,-3000.0
27/06/2022,27/06/2022,ATM WITHDRAWAL NBE CAIRO EG,-3000.0
27/06/2022,27/06/2022,ATM WITHDRAWAL NBE CAIRO EG,-3000.0
27/06/2022,27/06/2022,ATM WITHDRAWAL NBE CAIRO EG,-3000.0
29/06/2022,29/06/2022,Fees Account Transfer \ EASY ACCOUNT MONTHLY SUBSCRIPTION FEES for,-10.0
29/06/2022,29/06/2022,Credit Interest,0.14
